org_id	remap_id	satori_id
0002005018	0	0
0060973129	1	1
0771074670	2	2
0887841740	3	3
0609804618	4	4
0971880107	5	5
042518630X	6	6
0553278223	7	7
0452282152	8	8
0590629719	9	9
0060987103	10	10
0375704965	11	11
0316782505	12	12
034543191X	13	13
0373836023	14	14
0451409256	15	15
156971620X	16	16
1573225487	17	17
0515128554	18	18
0140345809	19	19
0590947257	20	20
0316314927	21	21
0679777431	22	22
0385337132	23	23
0060932759	24	24
080521061X	25	25
0786015276	26	26
0590419625	27	27
0849943450	28	28
084994371X	29	29
0816152446	30	30
0345379454	31	31
0553576925	32	32
0449211770	33	33
0807565288	34	34
0345369068	35	35
0821775863	36	36
0670855758	37	37
0553562819	38	38
0385496907	39	39
0807070718	40	40
0140021566	41	41
1570717257	42	42
057120354X	43	43
0890877564	44	44
156341029X	45	45
1886383421	46	46
1888451084	47	47
0395877563	48	48
0962893862	49	49
0553579681	50	50
0553574167	51	51
0553574159	52	52
0679801146	53	53
0374386676	54	54
0440226694	55	55
0590897985	56	56
0689832877	57	57
0439221684	58	58
0440415993	59	59
068983585X	60	60
0373250339	61	61
0425161722	62	62
0671742566	63	63
0451204050	64	64
0515134368	65	65
1558505377	66	66
0743201078	67	67
0765341972	68	68
0553581279	69	69
0393030342	70	70
0679420118	71	71
0060914653	72	72
0345347536	73	73
0876850867	74	74
0375704027	75	75
0590484672	76	76
0877733759	77	77
0440414717	78	78
0140368558	79	79
034545829X	80	80
0380789035	81	81
0812551389	82	82
0452265347	83	83
0942257324	84	84
0553576976	85	85
0551031123	86	86
0679741011	87	87
0312274572	88	88
0871137631	89	89
0441003257	90	90
0671759361	91	91
0552999512	92	92
0575073004	93	93
1578562333	94	94
0786885688	95	95
0671311891	96	96
0915811332	97	97
043909013X	98	98
0451409086	99	99
0486203077	100	100
0671701053	101	101
0373710992	102	102
0375725784	103	103
225313922X	104	104
0452281784	105	105
038533656X	106	106
0374516901	107	107
0440401119	108	108
034536628X	109	109
0553585681	110	110
0316140651	111	111
1551669501	112	112
0872860175	113	113
0515090506	114	114
0440221102	115	115
0786248688	116	116
0515120006	117	117
0679765123	118	118
155143234X	119	119
0553583085	120	120
0006550789	121	121
0440227739	122	122
0345434692	123	123
0374177023	124	124
0679732241	125	125
0515095826	126	126
1570719586	127	127
0312983654	128	128
0445202718	129	129
0060187271	130	130
0609806505	131	131
0965624773	132	132
0393038440	133	133
0679745645	134	134
0590449737	135	135
0789491869	136	136
0380000830	137	137
0451195507	138	138
0425162788	139	139
0812550307	140	140
0812513738	141	141
0871401185	142	142
0804832463	143	143
0702228842	144	144
073520313X	145	145
0809225034	146	146
1841492086	147	147
0749930721	148	148
0380776510	149	149
0385299842	150	150
0451197879	151	151
0802116825	152	152
0226067114	153	153
1561707244	154	154
0743400720	155	155
1880032627	156	156
0440204321	157	157
0062513346	158	158
0140376410	159	159
068483376X	160	160
0345421825	161	161
0061057983	162	162
0380896931	163	163
0671016768	164	164
068486780X	165	165
0375509283	166	166
0590629778	167	167
0345260627	168	168
0590109715	169	169
0590448323	170	170
0590448315	171	171
0553295691	172	172
0804119740	173	173
0451208153	174	174
0060002050	175	175
0843952059	176	176
0380812975	177	177
0060001445	178	178
0843949724	179	179
0380811065	180	180
0425102319	181	181
0441374239	182	182
0671721046	183	183
0441117732	184	184
0451455789	185	185
0380789116	186	186
0394757653	187	187
0446674338	188	188
0449702936	189	189
0449703347	190	190
0156005778	191	191
189251415X	192	192
0441816533	193	193
0880387157	194	194
0345280229	195	195
0886777631	196	196
0312993560	197	197
0380400480	198	198
0778320227	199	199
0446363510	200	200
0312186754	201	201
0295955252	202	202
0812517725	203	203
0373250290	204	204
0445210214	205	205
0375719350	206	206
0441048862	207	207
0451458397	208	208
0449210952	209	209
0140124497	210	210
2264027754	211	211
0316158720	212	212
0590453661	213	213
0374166560	214	214
0440911710	215	215
0140089365	216	216
038072345X	217	217
0671025570	218	218
0553298496	219	219
0842321934	220	220
0590213040	221	221
0671016954	222	222
044809553X	223	223
0590448250	224	224
0689817215	225	225
0671721291	226	226
0425173615	227	227
1573247022	228	228
0671734547	229	229
1594200106	230	230
0345404475	231	231
0375404929	232	232
0553291890	233	233
0060092645	234	234
081288518X	235	235
0140018328	236	236
0061013439	237	237
0671769200	238	238
1590210301	239	239
0061000043	240	240
0394751043	241	241
0553263579	242	242
0451456726	243	243
0451456718	244	244
0451456734	245	245
0440241286	246	246
0312992203	247	247
0553569791	248	248
